Formula,number_of_elements,mean_atomic_mass,wtd_mean_atomic_mass,mean_atomic_radius,wtd_mean_atomic_radius,mean_Density,wtd_mean_Density,mean_ElectronAffinity,wtd_mean_ElectronAffinity,mean_ThermalConductivity,wtd_mean_ThermalConductivity,mean_Valence,wtd_mean_Valence,critical_temp
Lu0.4Ba0.6Cu1O3,4,97.9598,52.785424,165.75,105.52,5578.10725,3001.3374,82.3375,115.454,108.506645,83.455948,2.25,2.08,91
Nd2Ba3Cu5O,4,90.2786,94.01767273,163,176.7272727,4870.35725,6304.675364,82.3375,81.03181818,108.756645,189.8205982,2.25,2.181818182,18
Sm1Ba2Cu3O,4,91.8081,90.23591429,171,175.2857143,4956.10725,5893.489857,82.3375,83.51428571,107.756645,178.4323686,2.25,2.142857143,43
Gd2Ba3Cu5O,4,93.5306,96.38276364,169.75,181.6363636,5093.10725,6466.675364,82.3375,81.03181818,107.256645,188.7296891,2.25,2.181818182,40
Y1Ba2Cu3O,4,76.4445625,81.45675,164.5,171.5714286,4235.85725,5481.918429,77.2375,80.6,108.756645,179.0037971,2.25,2.142857143,70
Y0.3Ba0.7Cu1O3,4,76.4445625,46.868971,164.5,105.94,4235.85725,2552.5774,77.2375,113.509,108.756645,83.555948,2.25,2.06,95.5
Y0.8Ba1.2Cu1O,4,76.4445625,78.86562,164.5,166.55,4235.85725,4187.75725,77.2375,76.455,108.756645,108.806645,2.25,2.2,94
Y0.6Ba0.9Cu1O,4,76.4445625,73.28091714,164.5,156.5428571,4235.85725,4229.608286,77.2375,84.27571429,108.756645,121.8361657,2.25,2.171428571,88
Ba0.3La1.7Hg0.15Cu0.85O4,5,111.273574,60.77679986,162.4,106.9,6430.2858,3021.859429,65.77,108.7035714,87.865316,52.69304571,2.2,2.242857143,28
La1.85Sr0.15Cu1O4,4,76.5177175,56.80881707,151.75,104.3714286,4434.35725,2961.473714,79.6075,111.7792143,112.006645,61.34376,2.25,2.264285714,35.5
Yb1.6La0.2Ba0.2Cu1O,5,105.766374,102.9195735,172.6,159.45,5037.4858,5351.15725,75.77,89.4475,94.005316,117.156645,2.4,2.45,79.2
Sr0.35La1.65Cu1O4,4,76.5177175,55.34351793,151.75,105.0571429,4434.35725,2861.016571,79.6075,110.5515,112.006645,61.97233143,2.25,2.235714286,26
Y0.4Ba0.6Cu1O,4,76.4445625,65.83464667,164.5,143.2,4235.85725,4285.409667,77.2375,94.70333333,108.756645,139.20886,2.25,2.133333333,92
Yb0.4Ba0.6Cu1O3,4,97.4816,52.6324,167,105.92,4760.35725,2739.6574,82.3375,115.454,114.256645,85.295948,2.25,2.08,88
Lu1.8Ba0.2Cu1O4,4,97.9598,67.13560571,165.75,111.1714286,5578.10725,3911.645143,82.3375,112.2414286,108.506645,61.78661714,2.25,2.257142857,71.9
Y0.9Ba0.1Cu1O4,4,76.4445625,36.8819275,164.5,92.18333333,4235.85725,2223.586,77.2375,119.9058333,108.756645,69.53438667,2.25,2.15,81
Ba0.15La1.85Cu1O4,4,88.9444675,57.87396707,160.25,105.1,4654.35725,2980.330857,81.8375,111.9703571,107.756645,60.97947429,2.25,2.264285714,28
Sr0.15La1.85Cu1O4,4,76.5177175,56.80881707,151.75,104.3714286,4434.35725,2961.473714,79.6075,111.7792143,112.006645,61.34376,2.25,2.264285714,34.7
Sr0.2La1.8Cu0.95Ti0.05O4,5,70.787574,56.33049943,156.6,104.7642857,4448.8858,2904.552286,65.506,110.6808571,94.005316,58.80090286,2.6,2.271428571,21
Sr0.2La1.8Cu0.99V0.01O4,5,71.402474,56.42448586,155.6,104.58,4769.4858,2932.288,74.106,111.3754286,95.805316,60.97376,2.8,2.261428571,12
Sr0.2La1.8Cu0.99Cr0.01O4,5,71.613394,56.42599243,154.6,104.5728571,4985.4858,2933.830857,76.846,111.395,108.405316,61.06376,3,2.262857143,22
Sr0.2La1.8Cu0.98Mn0.02O4,5,72.201783,56.41789813,153.6,104.5885714,5041.4858,2932.102286,63.986,111.134,91.145316,60.38004571,2.6,2.262857143,32
Sr0.2La1.8Cu0.95Fe0.05O4,5,72.383174,56.38748514,152.6,104.6214286,5122.2858,2928.602286,67.126,110.7387143,105.405316,59.20804571,2.4,2.264285714,30
Sr0.2La1.8Cu0.95Co0.05O4,5,73.000813,56.40954368,151.8,104.5928571,5327.4858,2935.930857,76.726,111.0815714,109.605316,59.35804571,2.6,2.271428571,16
Sr0.2La1.8Cu0.95Ni0.05O4,5,72.952854,56.40783086,151.2,104.5714286,5329.0858,2935.988,86.386,111.4265714,107.805316,59.29376,2.2,2.257142857,21
Sr0.2La1.8Cu0.99Zn0.01O4,5,74.290174,56.44511229,149.8,104.5385714,4975.4858,2933.759429,63.986,111.3031429,113.605316,61.10090286,2.2,2.257142857,29
Pr0.1La1.7Sr0.2Cu1O4,5,89.395704,56.47109486,170.8,105.2857143,4875.4858,2943.416571,73.986,111.5008571,92.205316,61.50090286,2.6,2.271428571,36
Nd0.1La1.7Sr0.2Cu1O4,5,90.062574,56.51872843,162.6,104.7,4949.4858,2948.702286,73.986,111.5008571,93.005316,61.55804571,2.4,2.257142857,35
Sm0.1La1.7Sr0.2Cu1O4,5,91.286174,56.60612843,169,105.1571429,5018.0858,2953.602286,73.986,111.5008571,92.205316,61.50090286,2.4,2.257142857,32
Gd0.1La1.7Sr0.2Cu1O4,5,92.664174,56.704557,168,105.0857143,5127.6858,2961.430857,73.986,111.5008571,91.805316,61.47233143,2.4,2.257142857,30
Y1Ba2Cu2.85Fe0.15O7,5,72.32465,51.15680769,162.8,114.6653846,4963.4858,2939.931,65.23,107.9842308,102.805316,92.69508154,2.4,2.088461538,51
Y1Ba2Cu2.7Fe0.3O7,5,72.32465,51.06795,162.8,114.7923077,4963.4858,2927.400231,65.23,106.7992308,102.805316,88.99123538,2.4,2.1,33
Y1Ba2Cu2.97Fe0.03O7,5,72.32465,51.22789385,162.8,114.5638462,4963.4858,2949.955615,65.23,108.9322308,102.805316,95.65815846,2.4,2.079230769,82
Y1Ba2Cu2.94Fe0.06O7,5,72.32465,51.21012231,162.8,114.5892308,4963.4858,2947.449462,65.23,108.6952308,102.805316,94.91738923,2.4,2.081538462,60
Y1Ba2Cu2.88Fe0.12O7,5,72.32465,51.17457923,162.8,114.64,4963.4858,2942.437154,65.23,108.2212308,102.805316,93.43585077,2.4,2.086153846,54
Y1Ba2Cu3O7,4,76.4445625,51.24566538,164.5,114.5384615,4235.85725,2952.461769,77.2375,109.1692308,108.756645,96.39892769,2.25,2.076923077,90
Y1Ba2Cu3S1O6,5,67.56865,52.48148077,149,117.5384615,3780.6858,3103.121077,102.09,113.7076923,87.046316,96.41265231,3,2.384615385,90
Y1Ba2Cu3Cl1O6,5,68.24625,52.74209615,147.4,116.9230769,3389.3286,2952.599077,131.89,125.1692308,87.007096,96.39756769,2.8,2.307692308,72
Y1Ba2Cu3O7,4,76.4445625,51.24566538,164.5,114.5384615,4235.85725,2952.461769,77.2375,109.1692308,108.756645,96.39892769,2.25,2.076923077,92
Y1Ba2Cu3O7,4,76.4445625,51.24566538,164.5,114.5384615,4235.85725,2952.461769,77.2375,109.1692308,108.756645,96.39892769,2.25,2.076923077,93
Gd1Ba2Cu3O7,4,93.5306,56.50290769,169.75,116.1538462,5093.10725,3216.231,82.3375,110.7384615,107.256645,95.93738923,2.25,2.076923077,94.5
Y1Ba2Cu3O7,4,76.4445625,51.24566538,164.5,114.5384615,4235.85725,2952.461769,77.2375,109.1692308,108.756645,96.39892769,2.25,2.076923077,91.85
Y1Ba2Cu3O7,4,76.4445625,51.24566538,164.5,114.5384615,4235.85725,2952.461769,77.2375,109.1692308,108.756645,96.39892769,2.25,2.076923077,91.95
Y1Ba2Cu3O7,4,76.4445625,51.24566538,164.5,114.5384615,4235.85725,2952.461769,77.2375,109.1692308,108.756645,96.39892769,2.25,2.076923077,89.7
Y1Ba2Cu3O7,4,76.4445625,51.24566538,164.5,114.5384615,4235.85725,2952.461769,77.2375,109.1692308,108.756645,96.39892769,2.25,2.076923077,89.9
Ho1Ba2Cu3O8,4,95.45068,54.15839429,168,110.7857143,5316.60725,3050.459429,82.3375,113.0071429,108.506645,89.44376,2.25,2.071428571,85
Y0.1Gd0.9Ba2Cu3O8,5,92.60565,53.1216275,178.2,111.1357143,4968.8858,2962.109429,72.09,112.8614286,89.205316,89.12947429,2.4,2.071428571,90.5
Y1Ba2Cu3O7,4,76.4445625,51.24566538,164.5,114.5384615,4235.85725,2952.461769,77.2375,109.1692308,108.756645,96.39892769,2.25,2.076923077,130
Y1Ba2Cu3O7,4,76.4445625,51.24566538,164.5,114.5384615,4235.85725,2952.461769,77.2375,109.1692308,108.756645,96.39892769,2.25,2.076923077,88.8
Y1Ba2Cu3O7,4,76.4445625,51.24566538,164.5,114.5384615,4235.85725,2952.461769,77.2375,109.1692308,108.756645,96.39892769,2.25,2.076923077,85.5
Y3Ba5Cu4Nb1O18,5,79.736926,51.23974613,171.2,114.2903226,5102.6858,2432.313613,79.31,106.5403226,97.805316,57.91865935,2.8,2.193548387,77.3
Sm0.45Ba0.55Cu1O3,4,91.8081,50.94721,171,107.05,4956.10725,2840.7274,82.3375,115.8145,107.756645,83.165948,2.25,2.09,69
Sm0.4Ba0.6Cu1O3,4,91.8081,50.81688,171,107.2,4956.10725,2802.2974,82.3375,115.454,107.756645,83.215948,2.25,2.08,84.3
Sm0.33Ba0.67Cu1O7,4,91.8081,35.24107667,171,81.00555556,4956.10725,1527.577,82.3375,127.1940556,107.756645,46.28178444,2.25,2.036666667,86.4
Sm0.3Ba0.7Cu1O3,4,91.8081,50.55622,171,107.5,4956.10725,2725.4374,82.3375,114.733,107.756645,83.315948,2.25,2.06,88.8
Sm0.25Ba0.75Cu1O3,4,91.8081,50.42589,171,107.65,4956.10725,2687.0074,82.3375,114.3725,107.756645,83.365948,2.25,2.05,73.6
Sm0.2Ba0.8Cu1O3,4,91.8081,50.29556,171,107.8,4956.10725,2648.5774,82.3375,114.012,107.756645,83.415948,2.25,2.04,62.5
Sm0.35Ba0.65Cu1O3,4,91.8081,50.68655,171,107.35,4956.10725,2763.8674,82.3375,115.0935,107.756645,83.265948,2.25,2.07,93.1
Y1Ba2Cu3O9,4,76.4445625,46.54616333,164.5,105.6666667,4235.85725,2558.990733,77.2375,113.6133333,108.756645,83.54928133,2.25,2.066666667,92
Bi2Sr2Cu2O7,4,94.03645,64.0222,138.75,103.8461538,5342.85725,3288.461769,90.4075,110.4430769,110.756645,68.16815846,2.75,2.461538462,22
Bi1Sr1Cu1O,4,94.03645,94.03645,138.75,138.75,5342.85725,5342.85725,90.4075,90.4075,110.756645,110.756645,2.75,2.75,6.5
Er1Ba2Cu3O,4,96.03285,92.65005714,168,173.5714286,5384.35725,6138.204143,82.3375,83.51428571,108.256645,178.7180829,2.25,2.142857143,85.5
Ho1Ba2Cu3O,4,95.45068,92.31738857,168,173.5714286,5316.60725,6099.489857,82.3375,83.51428571,108.506645,178.86094,2.25,2.142857143,91
Gd1Ba2Cu3O,4,93.5306,91.2202,169.75,174.5714286,5093.10725,5971.775571,82.3375,83.51428571,107.256645,178.1466543,2.25,2.142857143,93
Y1Ba2Cu3O6.9,4,76.4445625,51.51889225,164.5,115.0542636,4235.85725,2975.337992,77.2375,108.9108527,108.756645,97.14600016,2.25,2.07751938,95
Eu1.5Ba1.5Cu3O,4,92.2091,91.51055714,169.25,172.7142857,4428.85725,5716.061286,82.3375,86.08928571,108.006645,178.2895114,2.25,2.214285714,89.5
Gd1.5Ba1.5Cu3O,4,93.5306,92.64327143,169.75,173.1428571,5093.10725,6285.418429,82.3375,86.08928571,107.256645,177.6466543,2.25,2.214285714,92.5
Y1.5Ba1.5Cu3O,4,76.4445625,77.99809643,164.5,168.6428571,4235.85725,5550.632714,77.2375,81.71785714,108.756645,178.9323686,2.25,2.214285714,90
Yb1.5Ba1.5Cu3O,4,97.4816,96.02984286,167,170.7857143,4760.35725,6000.204143,82.3375,86.08928571,114.256645,183.6466543,2.25,2.214285714,90
Y1Ba2Cu3O7,4,76.4445625,51.24566538,164.5,114.5384615,4235.85725,2952.461769,77.2375,109.1692308,108.756645,96.39892769,2.25,2.076923077,91.6
Y1Ba2Cu2.75Ni0.25O7,5,72.89433,51.15234615,161.4,114.6153846,5170.2858,2951.461769,84.49,109.0461538,105.205316,90.45662,2.2,2.076923077,63.9
Y1Ba2Cu2.95Al0.05O7,5,66.55195772,51.10503284,155.2,114.4346154,3928.6858,2928.384846,70.59,108.8773077,134.005316,95.76431231,2.4,2.080769231,88
Y1Ba2Cu2.9Al0.1O7,5,66.55195772,50.9644003,155.2,114.3307692,3928.6858,2904.307923,70.59,108.5853846,134.005316,95.12969692,2.4,2.084615385,75
La1.85Sr0.15Cu1O4,4,76.5177175,56.80881707,151.75,104.3714286,4434.35725,2961.473714,79.6075,111.7792143,112.006645,61.34376,2.25,2.264285714,39.3
La1.85Sr0.15Cu0.975Ni0.025O4,5,72.952854,56.79148636,151.2,104.3857143,5329.0858,2961.288,86.386,111.7563571,107.805316,60.24018857,2.2,2.264285714,22.6
La1.85Sr0.15Cu0.95Ni0.05O4,5,72.952854,56.77415564,151.2,104.4,5329.0858,2961.102286,86.386,111.7335,107.805316,59.13661714,2.2,2.264285714,4.2
Y1Ba2Cu2.89Al0.11O7,5,66.55195772,50.93627379,155.2,114.31,3928.6858,2899.492538,70.59,108.527,134.005316,95.00277385,2.4,2.085384615,82
Y1Ba2Cu2.88Al0.12O7,5,66.55195772,50.90814728,155.2,114.2892308,3928.6858,2894.677154,70.59,108.4686154,134.005316,94.87585077,2.4,2.086153846,51
Y1Ba2Cu2.87Al0.13O7,5,66.55195772,50.88002077,155.2,114.2684615,3928.6858,2889.861769,70.59,108.4102308,134.005316,94.74892769,2.4,2.086923077,45
Y1Ba2Cu2.865Al0.135O7,5,66.55195772,50.86595752,155.2,114.2580769,3928.6858,2887.454077,70.59,108.3810385,134.005316,94.68546615,2.4,2.087307692,45
Y1Ba2Cu2.82Al0.18O7,5,66.55195772,50.73938823,155.2,114.1646154,3928.6858,2865.784846,70.59,108.1183077,134.005316,94.11431231,2.4,2.090769231,20
Y1Ba2Cu3O7,4,76.4445625,51.24566538,164.5,114.5384615,4235.85725,2952.461769,77.2375,109.1692308,108.756645,96.39892769,2.25,2.076923077,92.4
Y1Ba2Cu3O6.8,4,76.4445625,51.79638828,164.5,115.578125,4235.85725,2998.571656,77.2375,108.6484375,108.756645,97.90474563,2.25,2.078125,91.6
Er1Ba2Cu3O7,4,96.03285,57.27283077,168,115.6153846,5384.35725,3305.846385,82.3375,110.7384615,108.256645,96.24508154,2.25,2.076923077,86
Y1Ba2Cu3H0.14O7,5,61.357238,50.71040804,142.2,113.8828006,3388.70378,2921.005752,76.65,108.7977169,87.041416,95.37376941,2,2.065449011,92.5
Y1Ba2Cu3H0.48O7,5,61.357238,49.45678496,142.2,112.347181,3388.70378,2847.332801,76.65,107.9275964,87.041416,92.97275223,2,2.038575668,93.6
Y1Ba2Cu3H1O7,5,61.357238,47.65725643,142.2,110.1428571,3388.70378,2741.578064,76.65,106.6785714,87.041416,89.52618286,2,2,93.2
Y1Ba2Cu3O9,4,76.4445625,46.54616333,164.5,105.6666667,4235.85725,2558.990733,77.2375,113.6133333,108.756645,83.54928133,2.25,2.066666667,90
Eu1Ba2Cu3O7.1,4,92.2091,55.79020916,169.25,115.480916,4428.85725,2988.866099,82.3375,110.980916,108.006645,95.43425328,2.25,2.076335878,94.9
Gd1Ba2Cu3O7.08,4,93.5306,56.25517982,169.75,115.7370031,5093.10725,3196.568602,82.3375,110.9327217,107.256645,95.35077878,2.25,2.076452599,93.8
Dy1Ba2Cu3O6.82,4,94.8431,57.48111607,168.5,116.7207488,5255.60725,3312.070654,82.3375,110.2925117,107.256645,97.28403086,2.25,2.07800312,92.7
Ho1Ba2Cu3O6.71,4,95.45068,58.03133706,168,117.1581432,5316.60725,3359.920424,82.3375,110.0137687,108.506645,98.51914648,2.25,2.078678206,92.9
Er1Ba2Cu3O6.82,4,96.03285,57.85233292,168,116.5647426,5384.35725,3352.242261,82.3375,110.2925117,108.256645,97.59604334,2.25,2.07800312,92.4
Tm1Ba2Cu3O6.65,4,96.4516525,58.54721107,167,117.1699605,5447.85725,3417.352004,82.3375,109.8596838,108.756645,99.06535628,2.25,2.079051383,92.5
Yb1Ba2Cu3O6.71,4,97.4816,58.67049363,167,116.8434304,4760.35725,3184.861415,82.3375,110.0137687,114.256645,100.3287452,2.25,2.078678206,87
Lu1Ba2Cu3O7,4,97.9598,57.86573846,165.75,114.9230769,5578.10725,3365.461769,82.3375,110.7384615,108.506645,96.32200462,2.25,2.076923077,89.5
Y1Ba2Cu3O6.72,4,76.4445625,52.02152657,164.5,116.0031447,4235.85725,3017.42161,77.2375,108.4355346,108.756645,98.52033157,2.25,2.078616352,93.4
Nd1Ba2Cu3O7.16,4,90.2786,55.02201398,163,113.2735562,4870.35725,3109.440094,82.3375,111.1246201,108.756645,95.22722742,2.25,2.075987842,95.3
Sm1Ba2Cu3O7.11,4,91.8081,55.63750831,171,115.9633867,4956.10725,3147.456918,82.3375,111.004958,107.756645,95.2852009,2.25,2.076277651,93.5
La1.85Sr0.15Cu1O4,4,76.5177175,56.80881707,151.75,104.3714286,4434.35725,2961.473714,79.6075,111.7792143,112.006645,61.34376,2.25,2.264285714,37.1
La1.85Sr0.15Cu1O4,4,76.5177175,56.80881707,151.75,104.3714286,4434.35725,2961.473714,79.6075,111.7792143,112.006645,61.34376,2.25,2.264285714,33
Y1Ba2.01Cu2.81Ni0.19O6.7,5,72.89433,52.07278568,161.4,116.2777341,5170.2858,3021.777679,84.49,108.2130999,105.205316,93.99276837,2.2,2.078678206,65
Y1Ba2.02Cu2.18Zn0.82O7,5,74.23165,51.49340015,160,114.562212,4816.6858,2838.694547,62.09,101.5684332,111.005316,78.64409063,2.2,2.076804916,30
Y1Ba1.99Cu2.847Ag0.153O6.7,5,82.72929,52.54545757,164.6,116.2434988,5486.6858,3040.233593,87.21,108.5419307,173.005316,99.100716,2,2.066745469,86
Y1Ba2Cu2.902Pt0.098O6.4,5,100.17245,53.99070435,167,118.0109677,7678.6858,3193.964968,103.15,108.2432419,101.205316,98.46194452,3,2.112258065,81
Y1Ba2.01Cu2.7Co0.3O6.8,5,72.942289,51.75512869,162,115.8493365,5168.6858,2997.565746,74.83,107.2946526,107.005316,90.81660765,2.6,2.12490242,36
Y1.01Ba2.01Cu2.906Ni0.094O6.7,5,72.89433,52.13836589,161.4,116.3227987,5170.2858,3023.310244,84.49,108.2007783,105.205316,96.26431494,2.2,2.079402516,71
Y1Ba2Cu2.697Mn0.303O6.9,5,72.143259,51.3167054,163.8,115.4300775,4882.6858,2940.340318,62.09,106.1298295,88.545316,87.93151178,2.6,2.124496124,63
